Experiment: JA_2020-12-14-pro-ter_pRPS3-pPGK1-n3  Selected Filter: SYBR Green I / HRM Dye (483-533)
Include	Color	Pos	Name	Cp	Concentration	Standard	Status
True	255	A1	Sample 1	  9.52		0	
True	255	A2	Sample 2	  9.92		0	
True	255	A3	Sample 3	  9.53		0	
True	255	A4	Sample 4	  9.36		0	
True	255	A5	Sample 5	  9.27		0	
True	255	A6	Sample 6	  9.53		0	
True	255	A7	Sample 7	12.55		0	
True	255	A8	Sample 8	10.80		0	
True	255	A9	Sample 9	11.81		0	
True	255	A10	Sample 10	11.36		0	
True	255	A11	Sample 11	23.28		0	
True	255	A12	Sample 12	  8.27		0	
True	255	A13	Sample 13	  8.81		0	
True	255	A14	Sample 14	  10.00		0	
True	255	A15	Sample 15	  9.63		0	
True	255	A16	Sample 16	  8.76		0	
True	255	A17	Sample 17	  9.40		0	
True	255	A18	Sample 18	  9.71		0	
True	255	A19	Sample 19	  9.74		0	
True	255	A20	Sample 20	  9.22		0	
True	255	A21	Sample 21	  9.41		0	
True	65280	A22	Sample 22			0	
True	65280	A23	Sample 23			0	
True	65280	A24	Sample 24			0	
True	255	B1	Sample 25	  9.78		0	
True	255	B2	Sample 26	  9.82		0	
True	255	B3	Sample 27	  9.84		0	
True	255	B4	Sample 28	  9.73		0	
True	255	B5	Sample 29	  9.60		0	
True	255	B6	Sample 30	  9.62		0	
True	255	B7	Sample 31	10.97		0	
True	255	B8	Sample 32	  9.65		0	
True	255	B9	Sample 33	  9.98		0	
True	255	B10	Sample 34	  9.65		0	
True	255	B11	Sample 35	10.57		0	
True	255	B12	Sample 36	  9.78		0	
True	255	B13	Sample 37	  9.63		0	
True	255	B14	Sample 38	  9.71		0	
True	255	B15	Sample 39	  9.69		0	
True	255	B16	Sample 40	  9.93		0	
True	255	B17	Sample 41	  9.77		0	
True	255	B18	Sample 42	10.35		0	
True	255	B19	Sample 43	  9.81		0	
True	255	B20	Sample 44	  9.34		0	
True	255	B21	Sample 45	  9.62		0	
True	65280	B22	Sample 46			0	
True	65280	B23	Sample 47			0	
True	65280	B24	Sample 48			0	
True	255	C1	Sample 49	10.32		0	
True	255	C2	Sample 50	10.25		0	
True	255	C3	Sample 51	10.28		0	
True	255	C4	Sample 52	  9.97		0	
True	255	C5	Sample 53	  9.93		0	
True	255	C6	Sample 54	  9.88		0	
True	255	C7	Sample 55	10.59		0	
True	255	C8	Sample 56	  9.79		0	
True	255	C9	Sample 57	  9.94		0	
True	255	C10	Sample 58	  9.49		0	
True	255	C11	Sample 59	  9.85		0	
