Experiment: JA_2020-08-30-pSRO9-mCh-tRPS3_mod-n2  Selected Filter: SYBR Green I / HRM Dye (483-533)
Include	Color	Pos	Name	Group	Score	Res	Status
True	255	A1	Sample 1	2	0.9	0.86	
True	255	A2	Sample 2	2	0.9	0.86	
True	255	A3	Sample 3	2	0.94	0.9	
True	255	A4	Sample 4	2	0.96	0.92	
True	255	A5	Sample 5	2	0.92	0.88	
True	255	A6	Sample 6	2	0.97	0.92	
True	255	A7	Sample 7	2	0.94	0.88	
True	255	A8	Sample 8	2	0.96	0.91	
True	255	A9	Sample 9	2	0.96	0.9	
True	255	A10	Sample 10	2	0.94	0.86	
True	255	A11	Sample 11	2	0.96	0.9	
True	255	A12	Sample 12	2	0.97	0.92	
True	255	A13	Sample 13	2	0.94	0.89	
True	255	A14	Sample 14	2	0.98	0.92	
True	255	A15	Sample 15	2	0.98	0.94	
True	255	A16	Sample 16	2	0.96	0.9	
True	255	A17	Sample 17	2	0.94	0.88	
True	255	A18	Sample 18	2	0.92	0.85	
True	255	A19	Sample 19	2	0.96	0.91	
True	255	A20	Sample 20	2	0.97	0.91	
True	255	A21	Sample 21	2	0.98	0.94	
True	151	A22	Sample 22	Unknown	0.63	0.59	
True	151	A23	Sample 23	Unknown	0.67	0.63	
True	255	A24	Sample 24	2	0.76	0.73	
True	3200768	B1	Sample 25	3	0.95	0.82	
True	3200768	B2	Sample 26	3	0.93	0.82	
True	3200768	B3	Sample 27	3	0.97	0.82	
True	3200768	B4	Sample 28	3	0.97	0.81	
True	3200768	B5	Sample 29	3	0.98	0.82	
True	3200768	B6	Sample 30	3	0.98	0.81	
True	3200768	B7	Sample 31	3	0.98	0.82	
True	3200768	B8	Sample 32	3	0.98	0.82	
True	3200768	B9	Sample 33	3	0.99	0.81	
True	3200768	B10	Sample 34	3	0.95	0.75	
True	3200768	B11	Sample 35	3	0.98	0.78	
True	3200768	B12	Sample 36	3	0.99	0.8	
True	3200768	B13	Sample 37	3	0.99	0.81	
True	3200768	B14	Sample 38	3	0.98	0.82	
True	3200768	B15	Sample 39	3	0.92	0.78	
True	3200768	B16	Sample 40	3	0.97	0.81	
True	3200768	B17	Sample 41	3	0.99	0.8	
True	3200768	B18	Sample 42	3	0.96	0.69	
True	3200768	B19	Sample 43	3	0.99	0.78	
True	3200768	B20	Sample 44	3	0.99	0.77	
True	3200768	B21	Sample 45	3	0.97	0.81	
True	3200768	B22	Sample 46	3	0.98	0.81	
True	3200768	B23	Sample 47	3	0.96	0.81	
True	3200768	B24	Sample 48	3	0.98	0.8	
True	16744448	C1	Sample 49	1	0.98	0.51	
True	16744448	C2	Sample 50	1	0.98	0.52	
True	16744448	C3	Sample 51	1	0.99	0.4	
True	16744448	C4	Sample 52	1	0.99	0.46	
True	16744448	C5	Sample 53	1	0.98	0.51	
True	16744448	C6	Sample 54	1	0.97	0.5	
True	16744448	C7	Sample 55	1	0.97	0.51	
True	16744448	C8	Sample 56	1	0.98	0.48	
True	16744448	C9	Sample 57	1	0.95	0.51	
True	16744448	C10	Sample 58	1	0.99	0.44	
True	16744448	C11	Sample 59	1	0.99	0.44	
True	16744448	C12	Sample 60	1	0.98	0.47	
True	16744448	C13	Sample 61	1	0.99	0.44	
True	16744448	C14	Sample 62	1	0.97	0.42	
True	16744448	C15	Sample 63	1	0.99	0.4	
True	16744448	C16	Sample 64	1	0.99	0.46	
True	16744448	C17	Sample 65	1	0.99	0.46	
True	16744448	C18	Sample 66	1	0.96	0.46	
True	16744448	C19	Sample 67	1	0.99	0.48	
True	16744448	C20	Sample 68	1	0.99	0.46	
True	16744448	C21	Sample 69	1	1	0.43	
True	16744448	C22	Sample 70	1	0.97	0.51	
True	16744448	C23	Sample 71	1	0.95	0.53	
True	16744448	C24	Sample 72	1	0.96	0.5	
True	16744448	D1	Sample 73	1	0.91	0.22	
True	16744448	D2	Sample 74	1	0.95	0.26	
True	16744448	D3	Sample 75	1	0.95	0.21	
True	16744448	D4	Sample 76	1	0.96	0.29	
True	16744448	D5	Sample 77	1	0.97	0.33	
True	16744448	D6	Sample 78	1	0.97	0.33	
True	16744448	D7	Sample 79	1	0.96	0.32	
True	16744448	D8	Sample 80	1	0.95	0.23	
True	16744448	D9	Sample 81	1	0.95	0.24	
True	16744448	D10	Sample 82	1	0.95	0.22	
True	16744448	D11	Sample 83	1	0.97	0.32	
True	16744448	D12	Sample 84	1	0.94	0.2	
True	16744448	D13	Sample 85	1	0.95	0.22	
True	16744448	D14	Sample 86	1	0.98	0.34	
True	16744448	D15	Sample 87	1	0.93	0.19	
True	16744448	D16	Sample 88	1	0.92	0.14	
True	16744448	D17	Sample 89	1	0.93	0.21	
True	16744448	D18	Sample 90	1	0.95	0.27	
True	16744448	D19	Sample 91	1	0.94	0.23	
True	16744448	D20	Sample 92	1	0.95	0.24	
